age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,Cost_Per_Profile,Login_Frequency,Loyalty_Score,Estimated_Tenure_Days,Watch_Intensity
51,Other,Basic,14.73,29,Africa,TV,8.99,1,Gift Card,1,0.49,Action,8.99,0.0333333333333333,0.5073333333333329,1020,7.2177
47,Other,Standard,0.7,19,Europe,Mobile,13.99,1,Gift Card,5,0.03,Sci-Fi,2.798,0.05,0.0365,900,0.020999999999999998
27,Female,Standard,16.32,10,Asia,TV,13.99,0,Crypto,2,1.48,Drama,6.995,0.0909090909090909,1.618181818181818,300,24.1536
53,Other,Premium,4.51,12,Oceania,TV,17.99,1,Crypto,2,0.35,Horror,8.995,0.0769230769230769,0.37384615384615366,1080,1.5784999999999998
56,Other,Standard,1.89,13,Africa,Mobile,13.99,1,Crypto,2,0.13,Action,6.995,0.0714285714285714,0.1442857142857142,1170,0.2457
58,Female,Standard,13.8,26,Oceania,Mobile,13.99,0,Debit Card,3,0.51,Action,4.663333333333333,0.037037037037037,0.5299999999999995,1230,7.038
48,Other,Basic,13.83,20,Asia,TV,8.99,0,Gift Card,5,0.66,Romance,1.798,0.0476190476190476,0.6899999999999997,930,9.1278
51,Male,Basic,14.3,56,Europe,Mobile,8.99,1,Gift Card,1,0.25,Action,8.99,0.0175438596491228,0.25526315789473675,1020,3.575
45,Other,Basic,9.98,10,Asia,Mobile,8.99,0,PayPal,3,0.91,Romance,2.9966666666666666,0.0909090909090909,0.9899999999999999,840,9.081800000000001
32,Other,Premium,2.22,34,Europe,TV,17.99,1,Debit Card,1,0.06,Drama,17.99,0.0285714285714285,0.06514285714285699,450,0.1332
26,Male,Premium,15.42,36,Asia,Laptop,17.99,0,Debit Card,4,0.42,Comedy,4.4975,0.027027027027027,0.4281081081081077,270,6.4764
28,Other,Standard,22.26,38,South America,Mobile,13.99,0,Crypto,5,0.57,Horror,2.798,0.0256410256410256,0.5853846153846145,330,12.6882
47,Other,Standard,7.92,23,South America,TV,13.99,0,Crypto,1,0.33,Sci-Fi,13.99,0.0416666666666666,0.34374999999999944,900,2.6136
49,Female,Basic,5.26,33,South America,Mobile,8.99,1,Crypto,3,0.15,Documentary,2.9966666666666666,0.0294117647058823,0.15911764705882325,960,0.7889999999999999
39,Female,Basic,10.97,10,Oceania,Mobile,8.99,0,PayPal,1,1.0,Comedy,8.99,0.0909090909090909,1.0881818181818181,660,10.97
32,Female,Premium,40.94,7,South America,Desktop,17.99,0,Crypto,1,5.12,Action,17.99,0.125,5.757499999999999,450,209.6128
46,Other,Premium,1.25,13,Europe,Tablet,17.99,1,Debit Card,3,0.09,Comedy,5.996666666666666,0.0714285714285714,0.09571428571428568,870,0.11249999999999999
48,Female,Standard,8.12,32,Africa,Desktop,13.99,1,Crypto,2,0.25,Action,6.995,0.0303030303030303,0.2536363636363636,930,2.03
68,Female,Premium,7.67,40,Oceania,Tablet,17.99,0,PayPal,4,0.19,Romance,4.4975,0.024390243902439,0.19170731707317057,1530,1.4573
21,Female,Standard,15.53,27,South America,Laptop,13.99,0,Credit Card,1,0.55,Comedy,13.99,0.0357142857142857,0.574285714285714,120,8.541500000000001
60,Male,Basic,31.9,4,Oceania,Tablet,8.99,0,Crypto,2,6.38,Comedy,4.495,0.2,7.656000000000001,1290,203.522
70,Other,Premium,7.97,57,Europe,Laptop,17.99,1,Gift Card,5,0.14,Drama,3.598,0.0172413793103448,0.1398275862068963,1590,1.1158000000000001
